stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
15371,15371,Mason St & Vallejo St,37.798243,-122.412192,,,https://www.sfmta.com/15371,,,,0,
15370,15370,Mason St & Vallejo St,37.798199,-122.41202,,,https://www.sfmta.com/15370,,,,0,
15372,15372,Mason St & Washington St,37.794504,-122.411059,,,https://www.sfmta.com/15372,,,,0,
18023,18023,Mason St & Yacht Rd,37.805021,-122.448502,,,https://www.sfmta.com/18023,,,,0,
18028,18028,Mason St & Yacht Rd,37.804816,-122.448949,,,https://www.sfmta.com/18028,,,,0,
15384,15384,Mcallister St & Baker St,37.777397,-122.441659,,,https://www.sfmta.com/15384,,,,0,
15385,15385,Mcallister St & Baker St,37.77731,-122.44185,,,https://www.sfmta.com/15385,,,,0,
15390,15390,Mcallister St & Divisadero St,37.77773,-122.43851,,,https://www.sfmta.com/15390,,,,0,
15389,15389,Mcallister St & Divisadero St,37.777825,-122.438289,,,https://www.sfmta.com/15389,,,,0,
15391,15391,Mcallister St & Fillmore St,37.77864,-122.43207,,,https://www.sfmta.com/15391,,,,0,
15392,15392,Mcallister St & Fillmore St,37.778618,-122.431744,,,https://www.sfmta.com/15392,,,,0,
15394,15394,Mcallister St & Gough St,37.779634,-122.42325,,,https://www.sfmta.com/15394,,,,0,
15393,15393,Mcallister St & Gough St,37.779714,-122.423881,,,https://www.sfmta.com/15393,,,,0,
15395,15395,Mcallister St & Hyde St,37.78073,-122.41569,,,https://www.sfmta.com/15395,,,,0,
15396,15396,Mcallister St & Hyde St,37.78061,-122.41587,,,https://www.sfmta.com/15396,,,,0,
17563,17563,Mcallister St & Jones St,37.781166,-122.412189,,,https://www.sfmta.com/17563,,,,0,
15399,15399,Mcallister St & Laguna St,37.779206,-122.42701,,,https://www.sfmta.com/15399,,,,0,
15398,15398,Mcallister St & Laguna St,37.779304,-122.42717,,,https://www.sfmta.com/15398,,,,0,
15397,15397,Mcallister St & Larkin St,37.78051,-122.41741,,,https://www.sfmta.com/15397,,,,0,
17635,17635,Mcallister St & Leavenworth St,37.780889,-122.413587,,,https://www.sfmta.com/17635,,,,0,
15401,15401,Mcallister St & Pierce St,37.77815,-122.43519,,,https://www.sfmta.com/15401,,,,0,
15400,15400,Mcallister St & Pierce St,37.778244,-122.435045,,,https://www.sfmta.com/15400,,,,0,
15405,15405,Mcallister St & Van Ness Ave,37.780052,-122.420178,,,https://www.sfmta.com/15405,,,,0,
15404,15404,Mcallister St & Van Ness Ave,37.78009,-122.42071,,,https://www.sfmta.com/15404,,,,0,
17632,17632,Mendell St & Cargo Way,37.743804,-122.383313,,,https://www.sfmta.com/17632,,,,0,
15505,15505,Mendell St & Cargo Way,37.7437,-122.38317,,,https://www.sfmta.com/15505,,,,0,
15507,15507,Mendell St & Newhall St,37.74254,-122.3837,,,https://www.sfmta.com/15507,,,,0,
15508,15508,Mendell St & Newhall St,37.74253,-122.38393,,,https://www.sfmta.com/15508,,,,0,
15510,15510,Mendell St Opposite Us Post Office,37.741056,-122.384679,,,https://www.sfmta.com/15510,,,,0,
15509,15509,Mendell St/Us Post Office,37.74106,-122.38444,,,https://www.sfmta.com/15509,,,,0,
15728,15728,Metro Castro Station/Downtown,37.76262,-122.435231,,,https://www.sfmta.com/15728,,,,0,
16991,16991,Metro Castro Station/Outbound,37.762683,-122.435289,,,https://www.sfmta.com/16991,,,,0,
15726,15726,Metro Church Station/Downtown,37.767194,-122.429168,,,https://www.sfmta.com/15726,,,,0,
16998,16998,Metro Church Station/Outbound,37.767327,-122.429321,,,https://www.sfmta.com/16998,,,,0,
15727,15727,Metro Civic Center Station/Downtn,37.779712,-122.413347,,,https://www.sfmta.com/15727,,,,0,
16997,16997,Metro Civic Center Station/Outbd,37.778675,-122.414995,,,https://www.sfmta.com/16997,,,,0,
16992,16992,Metro Embarcadero Station,37.793134,-122.396431,,,https://www.sfmta.com/16992,,,,0,
17217,17217,Metro Embarcadero Station,37.79259,-122.397268,,,https://www.sfmta.com/17217,,,,0,
15730,15730,Metro Forest Hill Station/Downtown,37.748351,-122.458623,,,https://www.sfmta.com/15730,,,,0,
15731,15731,Metro Montgomery Station/Downtown,37.789219,-122.401351,,,https://www.sfmta.com/15731,,,,0,
16994,16994,Metro Montgomery Station/Outbound,37.788791,-122.402127,,,https://www.sfmta.com/16994,,,,0,
15417,15417,Metro Powell Station/Downtown,37.784653,-122.407086,,,https://www.sfmta.com/15417,,,,0,
16995,16995,Metro Powell Station/Outbound,37.7843,-122.407822,,,https://www.sfmta.com/16995,,,,0,
15419,15419,Metro Van Ness Station,37.775127,-122.419252,,,https://www.sfmta.com/15419,,,,0,
17719,17719,Middle Point & Acacia,37.737074,-122.379516,,,https://www.sfmta.com/17719,,,,0,
15501,15501,Middle Point Rd & Acacia Ave,37.737011,-122.379321,,,https://www.sfmta.com/15501,,,,0,
17187,17187,Middle Point Rd & Hare St,37.734388,-122.379358,,,https://www.sfmta.com/17187,,,,0,
15500,15500,Middle Point Rd & Innes Ave,37.734174,-122.379541,,,https://www.sfmta.com/15500,,,,0,
15504,15504,Middle Point Rd & West Point Rd,37.73502,-122.37947,,,https://www.sfmta.com/15504,,,,0,
15503,15503,Middle Point Rd & West Point Rd,37.735164,-122.379323,,,https://www.sfmta.com/15503,,,,0,
17868,17868,Miguel St & Laidley St,37.737752,-122.428248,,,https://www.sfmta.com/17868,,,,0,
17867,17867,Miguel St & Laidley St,37.737761,-122.428294,,,https://www.sfmta.com/17867,,,,0,
15514,15514,Miraloma Dr & Bengal Aly,37.737869,-122.461309,,,https://www.sfmta.com/15514,,,,0,
15515,15515,Miraloma Dr & Juanita Way,37.739377,-122.460083,,,https://www.sfmta.com/15515,,,,0,
15516,15516,Miraloma Dr & Juanita Way,37.739199,-122.460026,,,https://www.sfmta.com/15516,,,,0,
15518,15518,Miraloma Dr & Marne Ave,37.740207,-122.45927,,,https://www.sfmta.com/15518,,,,0,
15517,15517,Miraloma Dr & Marne Ave,37.740082,-122.459224,,,https://www.sfmta.com/15517,,,,0,
15519,15519,Miraloma Dr & Yerba Buena Ave,37.735505,-122.460804,,,https://www.sfmta.com/15519,,,,0,
17765,17765,Mission Bay North & 3rd St,37.771146,-122.389936,,,https://www.sfmta.com/17765,,,,0,
17766,17766,Mission Bay South & 4th St Se-Fs/ Bz,37.770513,-122.391037,,,https://www.sfmta.com/17766,,,,0,
15545,15545,Mission St & 11th St,37.774306,-122.417292,,,https://www.sfmta.com/15545,,,,0,
15544,15544,Mission St & 11th St,37.774912,-122.416283,,,https://www.sfmta.com/15544,,,,0,
15546,15546,Mission St & 13th St,37.77047,-122.41978,,,https://www.sfmta.com/15546,,,,0,
15547,15547,Mission St & 14th St,37.76862,-122.41993,,,https://www.sfmta.com/15547,,,,0,
15548,15548,Mission St & 14th St,37.7678,-122.42002,,,https://www.sfmta.com/15548,,,,0,
15552,15552,Mission St & 16th St,37.764804,-122.419737,,,https://www.sfmta.com/15552,,,,0,
15551,15551,Mission St & 16th St,37.765125,-122.419668,,,https://www.sfmta.com/15551,,,,0,
15553,15553,Mission St & 18th St,37.762635,-122.419348,,,https://www.sfmta.com/15553,,,,0,
15554,15554,Mission St & 18th St,37.761761,-122.419463,,,https://www.sfmta.com/15554,,,,0,
